geneID	tf_family	selection_tissue	selection_module	reference_genome	reference_annotation	peak_count_chr1_chr10	bound_gene_count
Sobic.005G117400	WRKY	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	69189	15618
Sobic.006G058732	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	14869	9418
Sobic.006G115700	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	3660	1002
Sobic.006G142000	MYB	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	10956	3706
Sobic.006G148000	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	11736	2931
Sobic.006G156100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	51051	19373
Sobic.006G159100	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	21543	5478
Sobic.006G167800	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	32391	17162
Sobic.006G169900	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	32949	8854
Sobic.006G170100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	125725	20364
Sobic.006G184700	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	90429	21118
Sobic.006G184800	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	20138	5222
Sobic.006G199800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	220	134
Sobic.006G206000	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	38790	9430
Sobic.006G210300	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	41342	18048
Sobic.006G240500	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	57336	10084
Sobic.006G259000	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	32509	16725
Sobic.007G077001	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	62018	22610
Sobic.007G077100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	78959	21690
Sobic.007G077200	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	66175	24919
Sobic.007G085300	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	5187	1810
Sobic.007G118301	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	15868	4059
Sobic.007G124100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	55595	11840
Sobic.007G156700	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	8632	3241
Sobic.007G177100	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	5439	2122
Sobic.007G224800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	231	131
Sobic.008G029000	WRKY	shoot	turquoise	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	2093	317
Sobic.008G029200	WRKY	shoot	turquoise	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	38275	8093
Sobic.008G055700	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	195	116
Sobic.008G055800	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	3761	1816
Sobic.009G016633	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	69608	18982
Sobic.009G068900	WRKY	root/shoot	red/purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	58516	12958
Sobic.009G071500	NAC	shoot	purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	140530	23181
Sobic.009G100500	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	10146	4155
Sobic.009G148100	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	1132	547
Sobic.009G157500	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	4321	1622
Sobic.009G171600	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	30635	8669
Sobic.009G184400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	31899	18490
Sobic.009G206800	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	37079	10047
Sobic.009G212800	WRKY	root/shoot	red/purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	39168	10762
Sobic.009G216900	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	7475	2413
Sobic.009G224500	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	381	213
Sobic.009G234100	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	13596	5361
Sobic.010G016500	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	52647	11951
